link,full_name,description,year,mileage,price
https://www.cargurus.com#listing=394677067/NONE/DEFAULT,Ferrari 488 GTB Coupe RWD,660 hp 3.9L V8,2018,"23,301 mi",226900
https://www.cargurus.com#listing=394885244/NONE/DEFAULT,Ferrari 360 Spider RWD,400 hp 3.6L V8,2003,"20,000 mi",105000
https://www.cargurus.com#listing=393848884/NONE/DEFAULT,Ferrari F430 Spider F1 Spider,490 hp 4.3L V8,2008,"15,069 mi",139995
https://www.cargurus.com#listing=395050789/NONE/DEFAULT,Ferrari 488 Spider RWD,660 hp 3.9L V8,2017,"7,369 mi",275995
https://www.cargurus.com#listing=392460867/NONE/DEFAULT,Ferrari California T Roadster,553 hp 3.9L V8,2017,"11,139 mi",139877
https://www.cargurus.com#listing=394740019/NONE/DEFAULT,Ferrari 599 GTB Fiorano RWD,612 hp 6L V12,2007,"10,999 mi",149900
https://www.cargurus.com#listing=392868121/NONE/DEFAULT,Ferrari California T Roadster,553 hp 3.9L V8,2015,"24,466 mi",115990
https://www.cargurus.com#listing=393455352/NONE/DEFAULT,Ferrari 488 GTB Coupe RWD,660 hp 3.9L V8,2016,"13,667 mi",194800
https://www.cargurus.com#listing=393918486/NONE/DEFAULT,Ferrari California GT Convertible,460 hp 4.3L V8,2010,"23,480 mi",87995
https://www.cargurus.com#listing=388849204/NONE/DEFAULT,Ferrari California Roadster,460 hp 4.3L V8,2012,"22,097 mi",79888
https://www.cargurus.com#listing=392948895/NONE/DEFAULT,Ferrari California Roadster,490 hp 4.3L V8,2013,"15,094 mi",105495
https://www.cargurus.com#listing=389834139/NONE/DEFAULT,Ferrari FF GT AWD,652 hp 6.3L V12,2014,"21,421 mi",133999
https://www.cargurus.com#listing=391651847/NONE/DEFAULT,Ferrari California Roadster,460 hp 4.3L V8,2012,"8,789 mi",101888
https://www.cargurus.com#listing=389877293/NONE/DEFAULT,Ferrari Portofino Convertible RWD,591 hp 3.9L V8,2019,"31,601 mi",156888
https://www.cargurus.com#listing=392320514/NONE/DEFAULT,Ferrari 458 Italia Coupe RWD,562 hp 4.5L V8,2011,"19,542 mi",179999
https://www.cargurus.com#listing=373724980/NONE/DEFAULT,Ferrari California T Roadster,553 hp 3.9L V8,2017,"21,144 mi",119888
https://www.cargurus.com#listing=384801848/NONE/DEFAULT,Ferrari California T Roadster,553 hp 3.9L V8,2015,"23,297 mi",115993
https://www.cargurus.com#listing=392039757/NONE/DEFAULT,Ferrari 488 Spider RWD,660 hp 3.9L V8,2017,"8,539 mi",269900
https://www.cargurus.com#listing=392291579/NONE/DEFAULT,Ferrari California T Roadster,553 hp 3.9L V8,2015,"11,797 mi",129985
https://www.cargurus.com#listing=378527732/NONE/DEFAULT,Ferrari California T Roadster,553 hp 3.9L V8,2017,"14,866 mi",127900
https://www.cargurus.com#listing=393687359/NONE/DEFAULT,Ferrari F430 Spider 2 Dr Spider,490 hp 4.3L V8,2008,"16,720 mi",139900
https://www.cargurus.com#listing=395022652/NONE/DEFAULT,Ferrari California Roadster,460 hp 4.3L V8,2012,"11,098 mi",94991
